id,fase_clinica,cenario_populacao,recomendacao,detalhes_tratamento,nivel_evidencia,forca_recomendacao,estudo_base,observacoes,fonte,tipos_compativeis,id_estados
244,Neoadjuvância,Alternativa — Doença HER2+ localizada,Administrar THP (alternativa),"Docetaxel 75 mg/m² EV D1 q3sem + Trastuzumabe (8→6 mg/kg q3sem) + Pertuzumabe (840→420 mg q3sem), 4 ciclos (NeoSphere); alternativa sem carboplatina.",Moderado,Forte,NeoSphere,Alternativa sem carboplatina (menos drogas na QT).,Neoadjuvante,"[1,2,4,5,6,12,21]",neoadj_candidata_her2
245,Neoadjuvância,Alternativa — Pacientes frágeis ou tumores de muito baixo risco — HER2+,Administrar TH (pacientes frágeis ou muito baixo risco),"Paclitaxel 80 mg/m² EV semanal por 12 semanas + Trastuzumabe (ataque 8 mg/kg, depois 6 mg/kg q3sem).",Moderado,Forte,,Sem pertuzumabe. Definir 'muito baixo risco' conforme julgamento clínico.,Neoadjuvante,"[1,2,4,5,6,12,21]",neoadj_candidata_her2
246,Neoadjuvância,Alternativa — Doença HER2+ localizada (>2cm) ou localmente avançada,Administrar ACTH(P) (com antraciclina - alternativa),AC: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos → TH (Paclitaxel semanal + T ± P).,Alto,Forte,TRAIN-2,RPC ~67% porém MAIS toxicidade que TCHP. Não preferencial.,Neoadjuvante,"[1,2,4,5,6,12,21]",neoadj_candidata_her2
247,Metastático,1ª linha — Pós-menopausa ou sem restrição — RH+/HER2-,Administrar IA + Ribociclibe (1ª linha),"IA (Letrozol 2,5 mg, Anastrozol 1 mg ou Exemestano 25 mg) + Ribociclibe 600 mg VO D1-D21 a cada 28 dias.",Alto,Forte,MONALEESA-2,"SG 63,9 vs 51,4 meses (HR 0,76). Monitorar neutropenia e QTc. | SONIA (2024): adiar o iCDK4/6 para 2ª linha não prejudica SLP2 nem SG, reduzindo exposição e toxicidade; considerar individualizar em casos indolentes/não-viscerais.",Metastática,"[1,2,3,4,5,6,7,12,20,21]",meta_1l_rhpos
248,Metastático,1ª linha — Pós-menopausa ou sem restrição — RH+/HER2-,Administrar IA + Palbociclibe (1ª linha),IA + Palbociclibe 125 mg VO D1-D21/q28d.,Alto,Forte,PALOMA-2,"SLP 24,8 vs 14,5 meses (HR 0,58). SEM ganho de SG. | SONIA (2024): adiar o iCDK4/6 para 2ª linha não prejudica SLP2 nem SG, reduzindo exposição e toxicidade; considerar individualizar em casos indolentes/não-viscerais.",Metastática,"[1,2,3,4,5,6,7,12,20,21]",meta_1l_rhpos
249,Metastático,1ª linha — Pós-menopausa ou sem restrição — RH+/HER2-,Administrar IA + Abemaciclibe (1ª linha),IA + Abemaciclibe 150 mg VO 2x/dia contínuo.,Alto,Forte,MONARCH-3,"SG 66,8 vs 53,7 meses (HR 0,804; p=0,0664) - não significativo. | SONIA (2024): adiar o iCDK4/6 para 2ª linha não prejudica SLP2 nem SG, reduzindo exposição e toxicidade; considerar individualizar em casos indolentes/não-viscerais.",Metastática,"[1,2,3,4,5,6,7,12,20,21]",meta_1l_rhpos
250,Metastático,1ª linha (PIK3CA) — Resistência endócrina (recidiva ≤12m adjuvância) + mutação PIK3CA — RH+/HER2-,Administrar Inavolisibe + Palbociclibe + Fulvestranto,Inavolisibe 300 mg VO 1x/dia + Palbociclibe 125 mg VO D1-D21/q28d + Fulvestranto 500 mg IM (D1/D15/D29 depois mensal).,Alto,Forte,INAVO120,"Critérios: mutação PIK3CA + resistência endócrina (recidiva ≤12m adjuvância).
INAVO120: SLP 15 vs 7,3 meses (HR 0,43); SG 34 vs 27 meses (p=0,019); ORR 58,4 vs 25%. Toxicidades de grau ≥3: hiperglicemia, estomatite e diarreia; monitorar rigorosamente.",Metastática,"[1,2,3,5,6,12,16,20]",meta_1l_rhpos
251,Metastático,"1ª linha — Selecionados (baixo volume, não-visceral, de novo) — RH+/HER2-",Oferecer HT isolada,"IA (Letrozol 2,5 mg/dia, Anastrozol 1 mg/dia ou Exemestano 25 mg/dia) OU Fulvestranto 500 mg IM D1, D15 e D29, depois 500 mg IM mensal. A combinação com iCDK4/6 é superior mesmo em baixo volume/não-visceral.",Não se aplica,Não se aplica,,"Apenas para baixo volume, não-visceral, doença de novo. Combinação com iCDK4/6 ainda é superior.",Metastática,"[1,2,3,7,20]",meta_1l_rhpos
252,Metastático,2ª linha — Progressão ≥12m em iCDK4/6 + alteração PIK3CA/AKT/PTEN — RH+/HER2-,Administrar Capivasertibe + Fulvestranto,Capivasertibe 400 mg VO 12/12h (4 dias ON / 3 OFF) + Fulvestranto 500 mg IM (D1/D15/D29 depois mensal).,Alto,Forte,CAPItello-291,"SLP 7,3 vs 3,1 meses (HR 0,50). Toxicidades: náuseas, rash, diarreia, hiperglicemia. | CAPItello-291: n=708; 40,8% com alterações da via PIK3CA/AKT1/PTEN; 69,1% com iCDK4/6 prévio. SLP IC 95% 0,38-0,65. Efeitos colaterais: náuseas, erupções cutâneas e diarreia (72,4% vs 20%); hiperglicemia em 16,3%.",Metastática,"[1,2,3,5,6,16,20]",meta_progressao_rhpos
253,Metastático,Mutação PIK3CA + Capivasertibe indisponível (2ª linha) — RH+/HER2-,Administrar Alpelisibe + Fulvestranto,Alpelisibe 300 mg VO 1x/dia + Fulvestranto 500 mg IM.,Alto,Forte,SOLAR-1,"SLP 11 vs 5,7 meses (HR 0,65). SG 39,3 vs 31,4 (HR 0,86; NS). | Reserva: usar somente quando capivasertibe indisponível (capivasertibe é a opção primária na 2ª linha com alteração da via). Mutação PIK3CA pode ser detectada no tumor (primário ou metastático) ou por biópsia líquida. Toxicidade (classe iPI3K): hiperglicemia, rash cutâneo, diarreia e estomatite; monitorar glicemia de jejum e HbA1c no início e a cada ciclo, função hepática e pele.",Metastática,"[1,2,3,5,6,16,20]",meta_progressao_rhpos
254,Metastático,2ª linha — Progressão a iCDK4/6 + IA (1ª linha metastática ou recidiva em/após iCDK4/6 adjuvante) — RH+/HER2-,Administrar Abemaciclibe + Fulvestranto,Abemaciclibe 150 mg VO 2x/dia + Fulvestranto 500 mg IM.,Alto,Forte,postMONARCH,"99% pós-progressão a iCDK4/6 + TE. SLP 6m: 50 vs 37% (HR 0,73). Ganho discreto. | postMONARCH (fase III): abemaciclibe + fulvestranto vs placebo + fulvestranto. HR 0,73 (IC 95% 0,57-0,95); ORR 17 vs 7%. iCDK4/6 prévio: palbociclibe 59%, ribociclibe 33%, abemaciclibe 8%. Ganho discreto, porém formalmente positivo.",Metastática,"[1,2,3,4,5,12,20]",meta_progressao_rhpos
255,Metastático,2ª linha — Progressão ≥12m em iCDK4/6 + SEM alteração na via PIK3CA/AKT/PTEN — RH+/HER2-,Administrar Everolimo + Fulvestranto ou Exemestano,Everolimo 10 mg VO 1x/dia + Fulvestranto 500 mg IM ou Exemestano 25 mg VO 1x/dia.,Alto,Forte,BOLERO-2,"Para SEM alteração na via. Toxicidades: estomatite, pneumonite, hiperglicemia. | Também relatado (BOLERO-2): cansaço com a adição de everolimo.",Metastática,"[1,2,3,5,16,20]",meta_progressao_rhpos
256,Metastático,2ª linha — Progressão a Palbociclibe + IA — RH+/HER2-,Considerar Ribociclibe + Fulvestranto (se não usado previamente),Ribociclibe 600 mg VO D1-D21/q28d + Fulvestranto 500 mg IM.,Alto,Forte,MAINTAIN,Estudo fase II. 84% usaram Palbociclibe previamente. | Alternativa descrita na diretriz: Exemestano no lugar do Fulvestranto.,Metastática,"[1,2,3,4,5,20]",meta_progressao_rhpos
257,Metastático,1ª linha — Sem exposição prévia OU recidiva >6m da adjuvância — HER2+,Administrar HP + Docetaxel (1ª linha),Trastuzumabe 8 mg/kg ataque C1 depois 6 mg/kg EV q3sem + Pertuzumabe 840 mg ataque C1 depois 420 mg EV q3sem + Docetaxel 75-100 mg/m² EV q3sem por ≥6 ciclos.,Alto,Forte,CLEOPATRA,"SLP 18,5 vs 12,4 meses (HR 0,62); SG 56,5 vs 40,8 meses (HR 0,68). | CLEOPATRA: p<0,001 (SLP) e p=0,0002 (SG); 37% vivas aos 8 anos; docetaxel ≥6 ciclos em respondedoras (redução de dose 25% conforme toxicidade; continuar QT além de 6 ciclos não aumenta SG).",Metastática,"[1,2,3,5,6,10,12,20,21]",meta_1l_her2
258,Metastático,1ª linha — Sem exposição prévia OU recidiva >6m da adjuvância — HER2+,Administrar HP + Paclitaxel semanal (1ª linha),Trastuzumabe + Pertuzumabe + Paclitaxel 80 mg/m² EV semanal.,Alto,Forte,PERUSE,"Eficácia equivalente ao docetaxel com menos toxicidade. | PERUSE (fase IIIb, n=1.436): HP + docetaxel, paclitaxel ou nab-paclitaxel sem diferença de eficácia; docetaxel mais tóxico (neutropenia, diarreia, neuropatia).",Metastática,"[1,2,3,5,6,10,12,20,21]",meta_1l_her2
259,Metastático,1ª linha — Contraindicação a taxanos — HER2+,Administrar HP + Vinorelbina (contraindicação a taxanos),Trastuzumabe + Pertuzumabe + Vinorelbina 25 mg/m² EV D1/D8 a cada 3 semanas. | Trastuzumabe (8→6 mg/kg q3sem) + Pertuzumabe (840→420 mg q3sem).,Não se aplica,Não se aplica,VELVET,Opção segura em contraindicação a taxanos.,Metastática,"[1,2,3,5,7,20]",meta_1l_her2
260,Metastático,1ª linha — Recidiva <6m após término da adjuvância com trastuzumabe — HER2+,Administrar T-DXd (recidiva precoce),"Trastuzumabe deruxtecana (T-DXd) 5,4 mg/kg EV a cada 3 semanas.",Alto,Forte,,Para recidiva durante ou <6 meses do término da adjuvância com trastuzumabe.,Metastática,"[1,2,3,5,10,12,20]",meta_1l_her2
261,Metastático,2ª linha — Progressão a HP + Taxano — HER2+,Administrar T-DXd (2ª linha pós HP + Taxano),"Trastuzumabe deruxtecana (T-DXd) 5,4 mg/kg EV a cada 3 semanas.",Alto,Forte,DESTINY-Breast03,"SLP 29 vs 7,2 meses (HR 0,30); SG 52,6 vs 42,7 meses (HR 0,73). Padrão ouro 2ª linha. | DB03: resposta objetiva 79,9 vs 34,2%; SLP IC 95% 0,24-0,38; seguimento 41 meses.",Metastática,"[1,2,3,5,12,20,21]",meta_progressao_her2
262,Metastático,Linhas subsequentes — Pós T-DXd ou opções gerais — HER2+,Administrar T-DM1 (linhas subsequentes),"Trastuzumabe entansina (T-DM1) 3,6 mg/kg EV a cada 3 semanas.",Alto,Forte,TH3RESA,"SLP 6,2 vs 3,3 meses; SG 22,7 vs 15,8 meses (HR 0,68; p=0,0007).",Metastática,"[1,2,3,5,20]",meta_linhas_tardias
263,Metastático,Linhas subsequentes — Opção — HER2+,Administrar Trastuzumabe + Capecitabina,Trastuzumabe (8→6 mg/kg q3sem ou SC) + Capecitabina 1.000-1.250 mg/m² VO 2x/dia D1-D14 a cada 21 dias.,Alto,Forte,GBG-26,"SLP 8,2 vs 5,6 meses.",Metastática,"[1,2,3,4,5,20]",meta_linhas_tardias
264,Metastático,Linhas subsequentes — Opção — HER2+,Administrar Lapatinibe + Capecitabina,Lapatinibe 1.250 mg VO 1x/dia + Capecitabina 1.000 mg/m² VO 2x/dia D1-D14 a cada 21 dias.,Alto,Forte,Geyer et al. 2006,"SLP 8,4 vs 4,4 meses.",Metastática,"[1,2,3,4,5,20]",meta_linhas_tardias
265,Metastático,Linhas subsequentes — Opção (sem QT) — HER2+,Administrar Trastuzumabe + Lapatinibe (sem QT),Trastuzumabe (8→6 mg/kg q3sem) + Lapatinibe 1.000 mg VO 1x/dia.,Alto,Forte,,Ganho em SG em pacientes RH-.,Metastática,"[1,2,3,5,20]",meta_linhas_tardias
266,Metastático,1ª linha — PD-L1 CPS ≥ 10 (22C3) — TNBC,Administrar Pembrolizumabe + Paclitaxel (CPS≥10),Pembrolizumabe 200 mg EV q3sem + Paclitaxel 90 mg/m² EV D1/D8/D15 a cada 28 dias.,Alto,Forte,KEYNOTE-355,"SG 23 vs 16,1 meses. Para CPS≥10 (22C3). | Se CPS < 10 e BRCA selvagem: QT sistêmica ou Datopotamabe deruxtecana (Dato-DXd) (aprovado no Brasil, TROPION-Breast02) em 1ª linha se não candidata a imunoterapia.",Metastática,"[1,2,3,5,12,16,20]",meta_1l_tnbc
267,Metastático,1ª linha — PD-L1 CPS ≥ 10 (22C3) — TNBC,Administrar Pembrolizumabe + Nab-Paclitaxel (CPS≥10),Pembrolizumabe 200 mg EV q3sem + Nab-Paclitaxel 100 mg/m² EV D1/D8/D15 a cada 28 dias.,Alto,Forte,KEYNOTE-355,Alternativa ao paclitaxel.,Metastática,"[1,2,3,5,12,16,20]",meta_1l_tnbc
268,Metastático,1ª linha — PD-L1 CPS ≥ 10 (22C3) — TNBC,Administrar Pembrolizumabe + Carboplatina + Gemcitabina (CPS≥10),Pembrolizumabe 200 mg EV q3sem + Carboplatina AUC 5 EV D1 + Gemcitabina 1.000 mg/m² EV D1/D8 a cada 21 dias.,Alto,Forte,KEYNOTE-355,Alternativa para casos selecionados.,Metastática,"[1,2,3,5,12,16,20]",meta_1l_tnbc
269,Metastático,1ª linha — PD-L1 <10 + Mutações BRCA1/2 — TNBC,Administrar Olaparibe (BRCA mutado 1ª linha),Olaparibe 300 mg VO 2x/dia contínuo.,Alto,Forte,OlympiAD,"SLP 7 vs 4,2 meses (HR 0,58). Para PD-L1<10. | ORR 59,9 vs 28,8%.",Metastática,"[1,2,3,5,9,16,20]",meta_1l_tnbc
270,Metastático,1ª linha — PD-L1 <10 + Mutações BRCA1/2 — TNBC,Administrar Talazoparibe (BRCA mutado 1ª linha),Talazoparibe 1 mg VO 1x/dia contínuo.,Alto,Forte,EMBRACA,"SLP 8,6 vs 5,6 meses (HR 0,54). | ORR 62,6 vs 27,2%.",Metastática,"[1,2,3,5,9,16,20]",meta_1l_tnbc
271,Metastático,1ª linha — PD-L1 <10 + BRCA selvagem — TNBC,Administrar Datopotamabe deruxtecana (Dato-DXd) (1ª linha sem imuno),Datopotamabe deruxtecana (Dato-DXd) 6 mg/kg EV a cada 3 semanas.,Alto,Forte,TROPION-Breast02,"Aprovado pela Anvisa. SLP 10,8 vs 5,6 meses; SG 23,7 vs 18,7 meses. | TROPION-Breast02 (1L TNBC sem candidatura a imunoterapia): ORR 62,5 vs 29,3%; HR SLP 0,57; HR SG 0,79. Dato-DXd aprovado pela Anvisa para esta indicação.",Metastática,"[1,2,3,16,20]",meta_1l_tnbc
272,Metastático,1ª linha — PD-L1 CPS<10 (22C3) + PD-L1>1 (Ventana SP142) — TNBC,Oferecer Atezolizumabe + Nab-Paclitaxel,Atezolizumabe 840 mg EV q2sem (ou 1.200 mg q3sem) + Nab-Paclitaxel 125 mg/m² EV D1/D8/D15 a cada 28 dias.,Não se aplica,Não se aplica,IMpassion130,"Condicional na diretriz ('Considerar a combinação de atezolizumabe com nab-paclitaxel na primeira linha em casos de CPS <10 (22C3) e PD-L1 >1 por Ventana SP142').
IMpassion130: ganho em SLP (7,2 vs 5,5 meses; HR 0,80; p=0,002); SG 25 vs 18 meses (HR 0,71) sem significância estatística pela metodologia do estudo.",Metastática,"[1,2,3,5,16,20]",meta_1l_tnbc
273,Metastático,2ª linha — Preferencial (qualquer biomarcador) — TNBC,Administrar Sacituzumabe govitecana (2ª linha preferencial),Sacituzumabe govitecana 10 mg/kg EV D1/D8 a cada 21 dias.,Alto,Forte,ASCENT,"SLP 4,8 vs 1,7 meses; SG 11,8 vs 6,9 meses (HR 0,51). | ASCENT: SLP/SG HR 0,51. Benefício mantido mesmo com menor expressão de Trop-2. Opção preferencial em 2ª linha TNBC para qualquer biomarcador, incluindo HER2 0. Quando HER2 1+/2+ (ISH-), T-DXd (DB04) também é opção.",Metastática,"[1,2,3,5,12,15,16,20]",meta_progressao_tnbc
274,Metastático,2ª linha — HER2 1+ ou 2+ (ISH-) — TNBC,Administrar T-DXd (2ª linha HER2 1+ ou 2+ ISH-),"Trastuzumabe deruxtecana (T-DXd) 5,4 mg/kg EV a cada 3 semanas.",Alto,Forte,DESTINY-Breast04,"Subgrupo TNBC DB04: SLP 8,5 vs 2,9 meses; SG 18,2 vs 8,3 meses. | A diretriz destaca preferência pelo uso mais precoce de sacituzumabe govitecana em TNBC (ASCENT foi desenhado para a população triplo-negativa). Subgrupo RE-negativo do DB04.",Metastática,"[1,2,3,5,9,12,15,16,20,21]",meta_progressao_tnbc
275,Metastático,2ª linha — Alternativa — TNBC,Administrar QT sistêmica (2ª linha alternativa),"Agente único: capecitabina, eribulina, vinorelbina ou gencitabina.",Alto,Forte,,Alternativa quando ADCs indisponíveis.,Metastática,"[1,2,3,20]",meta_progressao_tnbc
276,Metastático,"Pós-HT resistente, sem QT prévia no metastático — HER2-low ou ultralow — RH+/HER2-",Administrar T-DXd (HER2-low/ultralow pós-HT pré-QT),"Trastuzumabe deruxtecana (T-DXd) 5,4 mg/kg EV a cada 3 semanas.",Alto,Forte,DESTINY-Breast06,"HER2-low (1+/2+ ISH-) ou ultralow (IHQ 0 com membrana). SLP 13,2 vs 8,1 meses (HR 0,62). | Pré-requisitos: resistência à HT e indicação de agente citotóxico.",Metastática,"[1,2,3,5,9,12,20]",meta_linhas_tardias
277,Metastático,"Pós-HT resistente, após ≥1 linha de QT no metastático — HER2-low (1+/2+ ISH−) — RH+/HER2-",Administrar T-DXd (HER2-low pós-QT),"Trastuzumabe deruxtecana (T-DXd) 5,4 mg/kg EV a cada 3 semanas.",Alto,Forte,DESTINY-Breast04,"SLP 10,1 vs 5,4 meses (HR 0,51); SG 23,9 vs 17,5 meses (HR 0,64). | Pré-requisito: resistência à HT com indicação de agente citotóxico; NÃO exige QT prévia no metastático. Coorte RH+/HER2-.",Metastática,"[1,2,3,5,9,12,16,20]",meta_linhas_tardias
278,Metastático,Pós T-DXd — HER2-low — RH+/HER2-,Administrar Quimioterapia (agentes únicos ou combinações),"Agentes únicos: Capecitabina 1000-1250 mg/m² VO 2x/dia D1-D14 q21d; Eribulina 1,4 mg/m² EV D1/D8 q21d; Vinorelbina 25-30 mg/m² EV semanal; Gencitabina 1000 mg/m² EV D1/D8/D15 q28d. Combinações possíveis (ex.: Gemcitabina + Carboplatina).",Alto,Forte,,Opções: agentes únicos ou combinações (NE ALTO/FR FORTE).,Metastática,"[1,2,3,20]",meta_linhas_tardias
279,Neoadjuvância,Tumores > 2 cm ou linfonodos positivos (N+) — TNBC,Administrar Pembrolizumabe + quimioterapia neoadjuvante seguida de pembrolizumabe adjuvante,"Fase 1: Pembrolizumabe 200 mg EV D1 + Paclitaxel 80 mg/m² EV D1/D8/D15 + Carboplatina AUC 5 EV D1 (ou AUC 1,5 D1/D8/D15), a cada 21 dias por 4 ciclos. Fase 2: Pembrolizumabe 200 mg EV D1 + Doxorrubicina 60 mg/m² (ou Epirrubicina 90 mg/m²) + Ciclofosfamida 600 mg/m² EV D1, a cada 21 dias por 4 ciclos.",Alto,Forte,KEYNOTE-522,"Regime neoadjuvante do KEYNOTE-522; após a cirurgia, manter pembrolizumabe adjuvante conforme protocolo. Pode ser realizado com AC dose-densa (q14d com G-CSF) desvinculado do pembrolizumabe.",Neoadjuvante,"[1,2,5,6,12,15,16,21]",neoadj_candidata_tnbc
281,Neoadjuvância,Pembrolizumabe indisponível — TNBC estádios II e III,Administrar AC → Paclitaxel ou Tdd (sem Pembrolizumabe),AC: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos → Paclitaxel 80 mg/m² EV semanal por 12 semanas.,Alto,Forte,Brightness/Pearly,"Quando Pembrolizumabe indisponível. | Brightness (fase III): adição de carboplatina → RPC aumentada e EFS HR 0,57 (IC 95% 0,36-0,91; p=0,02), +11% absolutos aos 4,5 anos, consistente independente do BRCA. Pearly (fase III): mesmo racional, antraciclina+taxano ± carboplatina → ↑ RPC e SLE. Ambos dão suporte a incorporar carboplatina no neoadjuvante de TNBC estádio II/III, com ou sem pembrolizumabe.",Neoadjuvante,"[1,2,5,15]",neoadj_candidata_tnbc
282,Neoadjuvância,Tumores entre 1 cm e 2 cm com axila negativa (cN0) — TNBC,Administrar quimioterapia neoadjuvante com antracíclico + taxano ou considerar taxano + carboplatina,"Opção 1: ACdd — doxorrubicina 60 mg/m² + ciclofosfamida 600 mg/m² EV D1 a cada 14 dias por 4 ciclos, com G-CSF, seguido de paclitaxel 80 mg/m² EV semanal por 12 semanas. Opção 2: paclitaxel 80 mg/m² + carboplatina AUC 2 EV D1, semanalmente, por 12 semanas.",Alto,Forte,Brightness/Pearly /GeparSixto,"Para TNBC de 1–2 cm cN0, taxano + antracíclico ou taxano + carboplatina são estratégias aceitáveis. Veliparibe não acrescentou benefício; carboplatina aumentou RPC e EFS.",Neoadjuvante,"[1,2,5,15]",neoadj_candidata_tnbc
287,Metastático,1ª linha — PD-L1 <10 + BRCA selvagem (Dato-DXd indisponível) — TNBC,"Administrar QT sistêmica (1ª linha, quando Dato-DXd indisponível)","Capecitabina 1000-1250 mg/m² VO 2x/dia D1-D14 q21d; Eribulina 1,4 mg/m² EV D1/D8 q21d; Vinorelbina 25-30 mg/m² EV semanal; Gencitabina 1000 mg/m² EV D1/D8/D15 q28d; ou combinações (ex.: Gemcitabina + Carboplatina).",Alto,Forte,,Opção quando Dato-DXd indisponível.,Metastática,"[1,2,3,16,20]",meta_1l_tnbc
288,Diagnóstico/Estadiamento,Tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância,Realizar TC de tórax com contraste,TC de tórax com contraste,Não se aplica,Não se aplica,,Parte do estadiamento sistêmico,Estadiamento,"[1,2,18]",diag_estadiamento
289,Diagnóstico/Estadiamento,Tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância,Realizar TC de abdome e pelve com contraste ou RM com contraste,TC abdome/pelve com contraste OU RM com contraste,Não se aplica,Não se aplica,,Parte do estadiamento sistêmico,Estadiamento,"[1,2,18]",diag_estadiamento
290,Diagnóstico/Estadiamento,Tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância,Realizar cintilografia óssea ou PET/CT-FDG,Cintilografia óssea OU PET/CT-FDG,Não se aplica,Não se aplica,,Parte do estadiamento sistêmico,Estadiamento,"[1,2,18]",diag_estadiamento
291,Diagnóstico/Estadiamento,Tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância com sinais/sintomas neurológicos,Realizar RM de crânio com contraste,RM de crânio com contraste,Não se aplica,Não se aplica,,Para sintomas neurológicos a fonte é diretiva.,Estadiamento,"[1,2,18]",diag_estadiamento
292,Diagnóstico/Estadiamento,Tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância (caso PET/CT não realizado),Realizar RX ou TC dos ossos com captação na cintilografia,,Não se aplica,Não se aplica,,Particularmente importante em ossos de apoio com risco de fratura patológica,Estadiamento,"[1,2,18]",diag_estadiamento
293,Metastático,Pós T-DXd — HER2-low — RH+/HER2-,Considerar Sacituzumabe govitecana (após T-DXd),Sacituzumabe govitecana 10 mg/kg EV D1/D8 a cada 21 dias.,Moderado,Fraca,,Diretriz: opção a considerar após progressão a T-DXd (NE MODERADO/FR FRACA).,,,
294,Metastático,Informativo —  HER2+/RH+ após indução HP + taxano,Considerar Palbociclibe + Trastuzumabe + Pertuzumabe + Hormonioterapia em manutenção (SEM aprovação Anvisa para esta indicação),Após 4–8 ciclos de indução com HP + QT sem progressão: Palbociclibe + Hormonioterapia (IA ou TMX ± supressão ovariana) + manutenção com Trastuzumabe + Pertuzumabe.,Não se aplica,Não se aplica,PATINA,"PATINA (fase III): SLP 44,3 vs 29,1 meses em favor do palbociclibe (HR 0,75; IC 95% 0,59–0,96; p=0,02); seguimento mediano de 53,5 meses. Aumento de eventos adversos hematológicos, com baixa descontinuação por toxicidade (7,5%). Indicação específica sem aprovação regulatória da Anvisa; fora das recomendações formais da diretriz.",Metastática,"[1,2,3,5,20]",meta_linhas_tardias
295,Metastático,Informativo — HER2+ após indução HP + taxano,Considerar Tucatinibe + Trastuzumabe + Pertuzumabe em manutenção (SEM aprovação no Brasil),Tucatinibe 300 mg VO 2x/dia + Trastuzumabe + Pertuzumabe (manutenção após indução com taxano + HP).,Não se aplica,Não se aplica,HER2CLIMB-05,"HER2CLIMB-05 (fase III): SLP 24,9 vs 16,3 meses (HR 0,641; IC 95% 0,514–0,799; p<0,0001); ganho mediano maior em RH− (12,3 meses) que em RH+ (6,9 meses). Diarreia e elevação de transaminases; descontinuação em 13,8%. Tucatinibe sem aprovação pela Anvisa; fora das recomendações formais da diretriz.",Metastática,"[1,2,3,5,20]",meta_linhas_tardias
296,Diagnóstico/Estadiamento,TNBC ou HER2+ localmente avançado,Realizar RM de crânio com contraste,RM de crânio com contraste,Não se aplica,Não se aplica,,Condicional na diretriz ('considerar') apenas no subcenário TNBC/HER2+ sem sintomas; para sintomas neurológicos a fonte é diretiva.,Estadiamento,"[1,2,18]",diag_estadiamento
297,Metastático,Crise visceral — RH+/HER2-,Considerar ribociclibe + HT como alternativa à poliquimioterapia,"Ribociclibe 600 mg VO D1-D21 a cada 28 dias + hormonioterapia, conforme contexto clínico.",Não se aplica,Não se aplica,Right Choice,"Estudo fase II: HT + iCDK4/6 apresentou maior SLP que QT combinada mesmo na presença de crise visceral (24,0 vs 12,3 meses; HR 0,54).",Metastática,"[1,2,3,20]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc,meta_progressao_rhpos,meta_progressao_her2,meta_progressao_tnbc"
